,ISO,Country,Current account balance,General government net lending/borrowing,"Gross domestic product per capita, constant prices","Gross domestic product, constant prices","Gross domestic product, current prices","Inflation, average consumer prices","Inflation, end of period consumer prices",countriesAndTerritories,cases,deaths,popData2019,Death rate
525,IRQ,Iraq,-21.664,-22.298,-7.138,-4.723,679.098,0.8,1,Iraq,372259,9298,39309789,0.024977234
504,ISL,Iceland,2.131,-6.718,-8.939,-7.206,18.72,2.28,2.6,Iceland,2809,10,356991,0.003559986
546,ISR,Israel,3.545,-10.211,-8.057,-6.288,334.675,-1.902,-1.5,Israel,258902,1633,8519373,0.006307406
553,ITA,Italy,3.051,-8.339,-8.943,-9.134,"2,244.77",0.24,0.24,Italy,319908,35941,60359546,0.112347925
560,JAM,Jamaica,-7.834,-0.912,-5.565,-5.605,26.516,5.1,4.9,Jamaica,6691,116,2948277,0.017336721
574,JOR,Jordan,-5.769,-6.698,-5.045,-3.735,93.256,0.2,1.363,Jordan,13650,79,10101697,0.005787546
567,JPN,Japan,1.659,-7.09,-4.836,-5.163,"5,451.45",0.227,,Japan,84768,1590,126860299,0.018757078
581,KAZ,Kazakhstan,-6.789,-5.264,-3.768,-2.53,530.646,6.902,8.093,Kazakhstan,141484,2083,18551428,0.014722513
588,KEN,Kenya,-4.555,-7.715,-1.695,1.01,194.401,5.1,4.5,Kenya,38923,725,52573967,0.018626519
623,KGZ,Kyrgyz Republic,-16.572,-9.627,-5.931,-4.044,25.187,10.611,11.985,Kyrgyzstan,47184,1065,6415851,0.022571211
196,KHM,Cambodia,-22.179,-1.87,-3.042,-1.587,76.218,1.548,0.873,Cambodia,278,0,16486542,0
